"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+6.00080819439E+004, +1.74641160163E+001, +0.00000000000E+000
+6.03157224949E+004, +1.75377239536E+001, +0.00000000000E+000
+6.06233630458E+004, +1.76095568926E+001, +0.00000000000E+000
+6.09310035968E+004, +1.76809022633E+001, +0.00000000000E+000
+6.12386441477E+004, +1.77542055543E+001, +0.00000000000E+000
+6.15462846987E+004, +1.78245123092E+001, +0.00000000000E+000
+6.19058970647E+004, +1.79067416130E+001, +0.00000000000E+000
+6.23297385560E+004, +1.80053224352E+001, +0.00000000000E+000
+6.27535800474E+004, +1.81038976417E+001, +0.00000000000E+000
+6.31774215388E+004, +1.82023168314E+001, +0.00000000000E+000
+6.36012630302E+004, +1.82986138740E+001, +0.00000000000E+000
+6.40251045216E+004, +1.83956594502E+001, +0.00000000000E+000
+6.44489460130E+004, +1.84941384170E+001, +0.00000000000E+000
+6.48727875044E+004, +1.85911769116E+001, +0.00000000000E+000
+6.52966289958E+004, +1.86874179335E+001, +0.00000000000E+000
+6.57204704872E+004, +1.87830006312E+001, +0.00000000000E+000
+6.61443119786E+004, +1.88799078551E+001, +0.00000000000E+000
+6.65681534700E+004, +1.89762936650E+001, +0.00000000000E+000
+6.69919949613E+004, +1.90722266906E+001, +0.00000000000E+000
+6.74158364527E+004, +1.91678296991E+001, +0.00000000000E+000
+6.78396779441E+004, +1.92639924077E+001, +0.00000000000E+000
+6.82635194355E+004, +1.93588245368E+001, +0.00000000000E+000
+6.86873609269E+004, +1.94528337062E+001, +0.00000000000E+000
+6.91112024183E+004, +1.95486743284E+001, +0.00000000000E+000
+6.95350439097E+004, +1.96423766436E+001, +0.00000000000E+000
+6.99588854011E+004, +1.97374960361E+001, +0.00000000000E+000
+7.03827268925E+004, +1.98314778301E+001, +0.00000000000E+000
+7.08065683839E+004, +1.99256921239E+001, +0.00000000000E+000
+7.12304098753E+004, +2.00180963763E+001, +0.00000000000E+000
+7.16542513666E+004, +2.01121269101E+001, +0.00000000000E+000
+7.20780928580E+004, +2.02050819467E+001, +0.00000000000E+000
+7.25019343494E+004, +2.02982401104E+001, +0.00000000000E+000
+7.29257758408E+004, +2.03903947915E+001, +0.00000000000E+000
+7.33496173322E+004, +2.04822639810E+001, +0.00000000000E+000
+7.37734588236E+004, +2.05751345195E+001, +0.00000000000E+000
+7.41973003150E+004, +2.06677043498E+001, +0.00000000000E+000
+7.46211418064E+004, +2.07585755473E+001, +0.00000000000E+000
+7.50449832978E+004, +2.08506116197E+001, +0.00000000000E+000
+7.54688247892E+004, +2.09419621674E+001, +0.00000000000E+000
+7.58926662806E+004, +2.10330758052E+001, +0.00000000000E+000
+7.63165077719E+004, +2.11235406453E+001, +0.00000000000E+000
+7.67403492633E+004, +2.12125304486E+001, +0.00000000000E+000
+7.71641907547E+004, +2.13021330882E+001, +0.00000000000E+000
+7.75880322461E+004, +2.13928025496E+001, +0.00000000000E+000
+7.80118737375E+004, +2.14830994086E+001, +0.00000000000E+000
+7.84357152289E+004, +2.15720984087E+001, +0.00000000000E+000
+7.88595567203E+004, +2.16621922545E+001, +0.00000000000E+000
+7.92833982117E+004, +2.17508068454E+001, +0.00000000000E+000
+7.97072397031E+004, +2.18398940095E+001, +0.00000000000E+000
+8.01310811945E+004, +2.19271292201E+001, +0.00000000000E+000
+8.05549226859E+004, +2.20155712510E+001, +0.00000000000E+000
+8.09787641772E+004, +2.21039155913E+001, +0.00000000000E+000
+8.14026056686E+004, +2.21916863090E+001, +0.00000000000E+000
+8.18264471600E+004, +2.22789983736E+001, +0.00000000000E+000
+8.22502886514E+004, +2.23661612437E+001, +0.00000000000E+000
+8.26741301428E+004, +2.24542266095E+001, +0.00000000000E+000
+8.30979716342E+004, +2.25398977603E+001, +0.00000000000E+000
+8.35218131256E+004, +2.26266345763E+001, +0.00000000000E+000
+8.39456546170E+004, +2.27136788351E+001, +0.00000000000E+000
+8.43694961084E+004, +2.27987910391E+001, +0.00000000000E+000
+8.47933375998E+004, +2.28848363647E+001, +0.00000000000E+000
+8.52887815230E+004, +2.29834376625E+001, +0.00000000000E+000
+8.58727149780E+004, +2.31010930646E+001, +0.00000000000E+000
+8.64566484331E+004, +2.32179050601E+001, +0.00000000000E+000
+8.70405818881E+004, +2.33342137412E+001, +0.00000000000E+000
+8.76245153431E+004, +2.34513936369E+001, +0.00000000000E+000
+8.82084487982E+004, +2.35659143802E+001, +0.00000000000E+000
+8.87923822532E+004, +2.36804490940E+001, +0.00000000000E+000
+8.93763157082E+004, +2.37962190939E+001, +0.00000000000E+000
+8.99602491632E+004, +2.39103915779E+001, +0.00000000000E+000
+9.05441826183E+004, +2.40223997175E+001, +0.00000000000E+000
+9.11281160733E+004, +2.41361970731E+001, +0.00000000000E+000
+9.17120495283E+004, +2.42179734922E+001, +0.00000000000E+000
+9.22959829834E+004, +2.43290278004E+001, +0.00000000000E+000
+9.28799164384E+004, +2.44407604447E+001, +0.00000000000E+000
+9.34638498934E+004, +2.45499388875E+001, +0.00000000000E+000
+9.40477833484E+004, +2.46608976086E+001, +0.00000000000E+000
+9.46317168035E+004, +2.47713051183E+001, +0.00000000000E+000
+9.52156502585E+004, +2.48797262478E+001, +0.00000000000E+000
+9.57995837135E+004, +2.49881669189E+001, +0.00000000000E+000
+9.63835171686E+004, +2.50979741055E+001, +0.00000000000E+000
+9.69674506236E+004, +2.52053145006E+001, +0.00000000000E+000
+9.75513840786E+004, +2.53126421912E+001, +0.00000000000E+000
+9.81353175336E+004, +2.54209173876E+001, +0.00000000000E+000
+9.87192509887E+004, +2.55261048359E+001, +0.00000000000E+000
+9.93031844437E+004, +2.56326984360E+001, +0.00000000000E+000
+9.98871178987E+004, +2.57379482078E+001, +0.00000000000E+000
+1.00471051354E+005, +2.58421925254E+001, +0.00000000000E+000
+1.01054984809E+005, +2.59471467975E+001, +0.00000000000E+000
+1.01638918264E+005, +2.60515232524E+001, +0.00000000000E+000
+1.02222851719E+005, +2.61577040330E+001, +0.00000000000E+000
+1.02806785174E+005, +2.62590265814E+001, +0.00000000000E+000
+1.03390718629E+005, +2.63626316784E+001, +0.00000000000E+000
+1.03974652084E+005, +2.64660688412E+001, +0.00000000000E+000
